deep_score,deep_class,micro_score_anger,micro_score_disgust,micro_score_fear,micro_score_happiness,micro_score_sadness,micro_score_surprise,micro_class,fusion_label
0.0573,0,0.0111659998074173,0.2948260009288788,0.0102549996227025,0.0349529981613159,0.0486860014498233,0.6001139879226685,5,SPOOF
0.0462,0,0.116856001317501,0.0388050004839897,0.5933809876441956,0.0226050000637769,0.0137839997187256,0.2145690023899078,2,SPOOF
0.0371,0,0.0301789995282888,0.103532999753952,0.0400689989328384,0.0331609994173049,0.373198002576828,0.4198600053787231,5,SPOOF
0.0424,0,0.0713509991765022,0.1191819980740547,0.0518320016562938,0.0535349994897842,0.4915499985218048,0.2125490009784698,4,SPOOF
0.0715,0,0.0639040023088455,0.1144199967384338,0.0401960015296936,0.0482410006225109,0.5291799902915955,0.2040600031614303,4,SPOOF
0.1292,0,0.0010659999679774,0.985845983028412,0.0008590000215917,0.0004039999912492,0.0008520000264979,0.0109740002080798,1,SPOOF
0.2662,0,0.2505480051040649,0.1635800004005432,0.0535800009965896,0.0933990031480789,0.1718949973583221,0.2669970095157623,5,SPOOF
0.3558,0,0.0499680005013942,0.0446100011467933,0.0197560004889965,0.7409260272979736,0.0702089965343475,0.0745299980044364,3,SPOOF
0.236,0,0.0913019999861717,0.0189309995621442,0.0144469998776912,0.7994539737701416,0.0124030001461505,0.0634640008211135,3,SPOOF
0.1456,0,0.0147989997640252,0.0063649998046457,0.0054219998419284,0.9410520195961,0.0031779999844729,0.0291840005666017,3,SPOOF
0.0151,0,0.0078750001266598,0.9623259902000428,0.002826000098139,0.014291999861598,0.0068359998986124,0.0058459998108446,1,SPOOF
0.1426,0,0.3731420040130615,0.0152030000463128,0.0085209999233484,0.5490239858627319,0.0113930003717541,0.0427180007100105,3,SPOOF
0.1322,0,0.0037809999193996,0.0018589999526739,0.0025710000190883,0.956466019153595,0.0015079999575391,0.033815000206232,3,SPOOF
0.404,0,0.0043669999577105,0.0022460001055151,0.0017199999419972,0.9737560153007508,0.0011429999722167,0.0167689993977546,3,SPOOF
0.5166,0,0.0063330000266432,0.0020270000677555,0.0035300001036375,0.9317200183868408,0.001628000056371,0.0547609999775886,3,SPOOF
0.1718,0,0.0301939994096755,0.0015569999814033,0.0022160001099109,0.9565460085868835,0.0017689999658614,0.0077180000953376,3,SPOOF
0.2599,0,0.0037609999999403,0.0019310000352561,0.0024600001052021,0.974927008152008,0.0010209999745711,0.0159000009298324,3,SPOOF
0.3692,0,0.5860679745674133,0.1243169978260994,0.032379001379013,0.1904499977827072,0.0442319996654987,0.0225520003587007,0,SPOOF
0.1408,0,0.3112779855728149,0.0465420000255107,0.0087350001558661,0.5145260095596313,0.0190880000591278,0.0998300015926361,3,SPOOF
0.1784,0,0.0095170000568032,0.0020630001090466,0.0020109999459236,0.9473609924316406,0.0026700000744313,0.0363779999315738,3,SPOOF
0.0769,0,0.0359660014510154,0.0068180002272129,0.0026630000211298,0.8944309949874878,0.0051540001295506,0.0549679994583129,3,SPOOF
0.0411,0,0.0082820001989603,0.0052939997985959,0.0027570000384002,0.9637219905853271,0.0031250000465661,0.0168200004845857,3,SPOOF
0.1698,0,0.0011480000102892,0.0005890000029467,0.0010219999821856,0.9813600182533264,0.0005799999926239,0.0153010003268718,3,SPOOF
